category,series,order,seasonal,AIC,n_raw,n_eff,lb_p14,lb_p28,arch_p,norm_p,stable,invertible
Liquid Staking,TVR,"(0, 1, 0)","(0, 1, 1, 7)",-3095.535220238259,1123,1107,,,,,,
Liquid Staking,TVL,"(0, 1, 0)","(0, 1, 1, 7)",-4236.966438474908,1123,1107,,,,,,
Lending,TVR,"(1, 1, 2)","(1, 1, 1, 7)",-2891.671399121833,1079,1061,,,,,,
Lending,TVL,"(1, 1, 1)","(1, 1, 1, 7)",-1394.945812533997,1079,1062,,,,,,
Yield,TVR,"(1, 0, 1)","(0, 0, 0, 7)",-3194.4686559099437,1123,1121,,,,,,
Yield,TVL,"(1, 0, 1)","(0, 0, 0, 7)",-2623.153298898764,1123,1121,,,,,,
CDP,TVR,"(2, 1, 1)","(0, 1, 1, 7)",-2438.0110214289807,1123,1106,,,,,,
CDP,TVL,"(1, 0, 0)","(0, 0, 0, 7)",-4838.770457808698,1123,1122,,,,,,
Dexs,TVR,"(2, 1, 1)","(0, 1, 1, 7)",-2940.2093616668903,1123,1106,,,,,,
Dexs,TVL,"(2, 0, 1)","(0, 0, 0, 7)",-2486.573752185551,1123,1121,,,,,,
Onchain Capital Allocator,TVR,"(0, 1, 0)","(1, 1, 1, 7)",-353.86439591085684,344,328,,,,,,
Onchain Capital Allocator,TVL,"(1, 0, 2)","(1, 0, 0, 7)",-631.4009596799558,344,336,,,,,,
