category,series,order,seasonal,AIC,n_raw,n_eff,lb_p14,lb_p28,stable,invertible,jb_stat,jb_p,arch_stat,arch_p
Liquid Staking,TVR,"(0, 1, 0)","(0, 1, 1, 7)",-3095.535221,1123,1107,0.472481774,0.590329082,TRUE,TRUE,120784.8974,0,6.975594677,1
Liquid Staking,TVL,"(0, 1, 0)","(0, 1, 1, 7)",-4236.966438,1123,1107,0.195519487,0.078681473,TRUE,FALSE,589.8955041,8.05E-129,144.3129758,0.015666532
Lending,TVR,"(1, 1, 2)","(1, 1, 1, 7)",-2891.671358,1079,1061,0.002169564,4.76E-05,TRUE,TRUE,1497.31153,0,115.9481111,0.239340993
Lending,TVL,"(1, 1, 1)","(1, 1, 1, 7)",-1394.945815,1079,1062,6.72E-23,1.43E-26,TRUE,FALSE,113028.2927,0,792.7345584,1.30E-105
Yield,TVR,"(1, 0, 1)","(0, 0, 0, 7)",-3194.468656,1123,1121,0.891675062,0.966034741,TRUE,TRUE,318358.3321,0,196.3121121,1.47E-06
Yield,TVL,"(1, 0, 1)","(0, 0, 0, 7)",-2623.153299,1123,1121,0.956396317,0.999683291,TRUE,TRUE,2753494.738,0,105.5937973,0.652359559
CDP,TVR,"(2, 1, 1)","(0, 1, 1, 7)",-2438.011019,1123,1106,0.018677177,8.61E-05,TRUE,TRUE,10178.67408,0,306.2482076,2.06E-20
CDP,TVL,"(1, 0, 0)","(0, 0, 0, 7)",-4838.770458,1123,1122,0.321544037,0.064957417,TRUE,TRUE,322.7681051,8.16E-71,138.2038677,0.047056658
Dexs,TVR,"(2, 1, 1)","(0, 1, 1, 7)",-2940.209357,1123,1106,3.09E-12,6.43E-12,TRUE,FALSE,105105.9414,0,280.8464591,6.62E-17
Dexs,TVL,"(2, 0, 1)","(0, 0, 0, 7)",-2486.573752,1123,1121,0.05727937,0.203170359,TRUE,TRUE,48160.80415,0,100.5961788,0.771716623
Onchain Capital Allocator,TVR,"(0, 1, 0)","(1, 1, 1, 7)",-353.864396,344,328,0.999999736,1,TRUE,FALSE,138245.294,0,0.90040988,1
Onchain Capital Allocator,TVL,"(1, 0, 2)","(1, 0, 0, 7)",-631.4008859,344,336,0.962323567,0.999271509,FALSE,TRUE,29030.57783,0,5.340650499,0.99999999
